Human	Chimpanzee	Bonobo	Gorilla	Orangutan	Macaque	Mouse	Opossum	Platypus	Chicken
ENSG00000006576:7358	ENSPTRG00000019340:4908	ENSPTRG00000019340:4908	ENSGGOG00000007313:4987	ENSPPYG00000017867:4579	ENSMMUG00000009008:4886	ENSMUSG00000039987:4882	ENSMODG00000017151:2337	ENSOANG00000015067:2259	ENSGALG00000008335:4519
ENSG00000173175:8355	ENSPTRG00000015304:3666	ENSPTRG00000015304:3666	ENSGGOG00000025276:3639	ENSPPYG00000013473:3303	ENSMMUG00000002230:4064	ENSMUSG00000022840:7007	ENSMODG00000018333:4983	ENSOANG00000021494:603	ENSGALG00000011699:4240
ENSG00000076321:3421	ENSPTRG00000001696:3443	ENSPTRG00000001696:3443	ENSGGOG00000024508:3441	ENSPPYG00000000495:1860	ENSMMUG00000016792:1245	ENSMUSG00000026705:4072	ENSMODG00000004130:2034	ENSOANG00000000918:1931	ENSGALG00000003513:2140
ENSG00000125107:8716	ENSPTRG00000008183:8431	ENSPTRG00000008183:8431	ENSGGOG00000009547:8421	ENSPPYG00000007410:7131	ENSMMUG00000014625:8158	ENSMUSG00000036550:7755	ENSMODG00000014199:7365	ENSOANG00000012109:7645	ENSGALG00000002301:8013
ENSG00000095321:3511	ENSPTRG00000021452:1590	ENSPTRG00000021452:1590	ENSGGOG00000006412:2123	ENSPPYG00000019674:1827	ENSMMUG00000011767:2675	ENSMUSG00000026853:5181	ENSMODG00000006706:1908	ENSOANG00000000459:333	ENSGALG00000004466:1872
ENSG00000112996:6584	ENSPTRG00000016854:1668	ENSPTRG00000016854:1668	ENSGGOG00000016095:1662	ENSPPYG00000015445:1314	ENSMMUG00000016180:1634	ENSMUSG00000021731:1590	ENSMODG00000020268:1272	ENSOANG00000001659:720	ENSGALG00000014874:1323
ENSG00000131437:6588	ENSPTRG00000017221:3202	ENSPTRG00000017221:3202	ENSGGOG00000008000:3353	ENSPPYG00000015767:3109	ENSMMUG00000010313:2233	ENSMUSG00000018395:5706	ENSMODG00000013930:2104	ENSOANG00000007422:2160	ENSGALG00000006860:4174
ENSG00000123352:3869	ENSPTRG00000004907:2689	ENSPTRG00000004907:2689	ENSGGOG00000007336:2868	ENSPPYG00000004488:2547	ENSMMUG00000003762:1305	ENSMUSG00000051934:3065	ENSMODG00000004216:774	ENSOANG00000004963:1174	ENSGALG00000000467:1700
ENSG00000121957:3976	ENSPTRG00000001037:2783	ENSPTRG00000001037:2783	ENSGGOG00000004702:2458	ENSPPYG00000001087:2505	ENSMMUG00000010161:642	ENSMUSG00000027883:3466	ENSMODG00000002268:2362	ENSOANG00000005359:1480	ENSGALG00000002090:2678
ENSG00000145819:10595	ENSPTRG00000017362:8990	ENSPTRG00000017362:8990	ENSGGOG00000007019:6303	ENSPPYG00000015899:3186	ENSMMUG00000000419:6263	ENSMUSG00000036452:10509	ENSMODG00000010362:3854	ENSOANG00000005744:2065	ENSGALG00000007380:2722
ENSG00000116141:5280	ENSPTRG00000002000:3832	ENSPTRG00000002000:3832	ENSGGOG00000000960:5186	ENSPPYG00000000206:4765	ENSMMUG00000022288:4764	ENSMUSG00000026620:3316	ENSMODG00000004622:2521	ENSOANG00000001429:2774	ENSGALG00000009483:2660
ENSG00000120800:9010	ENSPTRG00000005349:8226	ENSPTRG00000005349:8226	ENSGGOG00000004904:8542	ENSPPYG00000004871:7359	ENSMMUG00000012891:8577	ENSMUSG00000004356:8663	ENSMODG00000003141:8484	ENSOANG00000005578:8608	ENSGALG00000011643:8639
ENSG00000165194:9754	ENSPTRG00000022085:7741	ENSPTRG00000022085:7741	ENSGGOG00000001810:9734	ENSPPYG00000020536:3447	ENSMMUG00000011078:3802	ENSMUSG00000051323:10273	ENSMODG00000009008:3432	ENSOANG00000004203:2645	ENSGALG00000006822:3020
ENSG00000136933:3295	ENSPTRG00000021369:1563	ENSPTRG00000021369:1563	ENSGGOG00000003250:1317	ENSPPYG00000019608:1240	ENSMMUG00000005215:1502	ENSMUSG00000070953:3274	ENSMODG00000019763:1119	ENSOANG00000013292:1108	ENSGALG00000001002:759
ENSG00000146555:10963	ENSPTRG00000018872:6774	ENSPTRG00000018872:6774	ENSGGOG00000012912:8434	ENSPPYG00000017324:6257	ENSMMUG00000019724:6099	ENSMUSG00000039683:10609	ENSMODG00000000232:6460	ENSOANG00000004329:5884	ENSGALG00000004420:6872
ENSG00000172840:3830	ENSPTRG00000008204:3829	ENSPTRG00000008204:3829	ENSGGOG00000012328:3811	ENSPPYG00000007430:1326	ENSMMUG00000016726:3835	ENSMUSG00000048371:3485	ENSMODG00000006788:1620	ENSOANG00000015274:1605	ENSGALG00000005146:1602
ENSG00000152430:3498	ENSPTRG00000012777:3224	ENSPTRG00000012777:3224	ENSGGOG00000013594:1336	ENSPPYG00000013050:2522	ENSMMUG00000023811:3823	ENSMUSG00000025977:1109	ENSMODG00000012323:929	ENSOANG00000019928:486	ENSGALG00000008116:988
ENSG00000168807:9796	ENSPTRG00000008276:1719	ENSPTRG00000008276:1719	ENSGGOG00000007727:1704	ENSPPYG00000007499:1614	ENSMMUG00000016640:1691	ENSMUSG00000041308:4423	ENSMODG00000003148:1602	ENSOANG00000002355:1092	ENSGALG00000000640:222
ENSG00000174945:5611	ENSPTRG00000018869:1489	ENSPTRG00000018869:1489	ENSGGOG00000002895:2017	ENSPPYG00000017321:1524	ENSMMUG00000004088:1821	ENSMUSG00000050022:2796	ENSMODG00000000182:1509	ENSOANG00000004325:1593	ENSGALG00000004358:1512
ENSG00000140455:2479	ENSPTRG00000007149:2107	ENSPTRG00000007149:2107	ENSGGOG00000015288:1978	ENSPPYG00000006541:1563	ENSMMUG00000012114:2480	ENSMUSG00000032376:5607	ENSMODG00000011011:1582	ENSOANG00000011148:1564	ENSGALG00000003427:2016
ENSG00000111726:1741	ENSPTRG00000004765:1741	ENSPTRG00000004765:1741	ENSGGOG00000015061:1742	ENSPPYG00000004359:1730	ENSMMUG00000020808:1743	ENSMUSG00000030282:1760	ENSMODG00000017742:1308	ENSOANG00000011047:903	ENSGALG00000013229:1155
ENSG00000141448:3770	ENSPTRG00000009913:1416	ENSPTRG00000009913:1416	ENSGGOG00000024673:2947	ENSPPYG00000009057:1743	ENSMMUG00000010944:1782	ENSMUSG00000005836:3194	ENSMODG00000021492:1773	ENSOANG00000004635:612	ENSGALG00000014976:928
ENSG00000138032:6296	ENSPTRG00000011881:2825	ENSPTRG00000011881:2825	ENSGGOG00000014395:2630	ENSPPYG00000012451:4902	ENSMMUG00000022261:2761	ENSMUSG00000061130:3628	ENSMODG00000000678:1614	ENSOANG00000006156:849	ENSGALG00000009970:1266
ENSG00000167986:4337	ENSPTRG00000003737:4056	ENSPTRG00000003737:4056	ENSGGOG00000004052:4346	ENSPPYG00000003193:3408	ENSMMUG00000002691:3477	ENSMUSG00000024740:4215	ENSMODG00000020353:3447	ENSOANG00000004897:3139	ENSGALG00000005202:3977
ENSG00000168263:2449	ENSPTRG00000020734:1871	ENSPTRG00000020734:1871	ENSGGOG00000000231:1882	ENSPPYG00000019256:1638	ENSMMUG00000015105:1881	ENSMUSG00000047298:5108	ENSMODG00000003631:1671	ENSOANG00000014994:1703	ENSGALG00000010173:1533
ENSG00000131269:2383	ENSPTRG00000022039:2067	ENSPTRG00000022039:2067	ENSGGOG00000015678:2361	ENSPPYG00000020483:2259	ENSMMUG00000015619:2378	ENSMUSG00000031333:5673	ENSMODG00000011942:2091	ENSOANG00000002026:2570	ENSGALG00000007788:2352
ENSG00000144840:3883	ENSPTRG00000015272:3825	ENSPTRG00000015272:3825	ENSGGOG00000006059:1970	ENSPPYG00000013501:711	ENSMMUG00000001594:1983	ENSMUSG00000022827:2031	ENSMODG00000018232:711	ENSOANG00000003928:715	ENSGALG00000014949:3311
ENSG00000047579:2438	ENSPTRG00000017744:1338	ENSPTRG00000017744:1338	ENSGGOG00000005548:918	ENSPPYG00000016251:1221	ENSMMUG00000015363:2154	ENSMUSG00000057531:1305	ENSMODG00000010762:1041	ENSOANG00000011868:1086	ENSGALG00000012703:1766
ENSG00000187498:6524	ENSPTRG00000006031:5141	ENSPTRG00000006031:5141	ENSGGOG00000012523:6428	ENSPPYG00000005496:3840	ENSMMUG00000022280:5387	ENSMUSG00000031502:6615	ENSMODG00000004766:5624	ENSOANG00000015603:5181	ENSGALG00000016841:5600
ENSG00000169313:1803	ENSPTRG00000015538:1695	ENSPTRG00000015538:1695	ENSGGOG00000000640:1705	ENSPPYG00000014215:1029	ENSMMUG00000001105:1863	ENSMUSG00000036353:2393	ENSMODG00000024766:1029	ENSOANG00000012173:900	ENSGALG00000010373:1020
ENSG00000091483:1797	ENSPTRG00000002163:1790	ENSPTRG00000002163:1790	ENSGGOG00000009996:1790	ENSPPYG00000000071:1790	ENSMMUG00000005667:1598	ENSMUSG00000026526:2636	ENSMODG00000007014:1437	ENSOANG00000010272:1524	ENSGALG00000013165:1655
ENSG00000111144:2160	ENSPTRG00000005321:2070	ENSPTRG00000005321:2070	ENSGGOG00000006881:2060	ENSPPYG00000004851:1761	ENSMMUG00000009312:1830	ENSMUSG00000015889:2029	ENSMODG00000007997:1677	ENSOANG00000006608:2233	ENSGALG00000011429:2264
ENSG00000168679:2606	ENSPTRG00000023772:2078	ENSPTRG00000023772:2078	ENSGGOG00000016418:1736	ENSPPYG00000001050:1542	ENSMMUG00000015022:1735	ENSMUSG00000027896:2546	ENSMODG00000001701:1473	ENSOANG00000004024:1658	ENSGALG00000000417:1705
ENSG00000011105:4639	ENSPTRG00000004540:783	ENSPTRG00000004540:783	ENSGGOG00000010996:1026	ENSPPYG00000004157:875	ENSMMUG00000009252:657	ENSMUSG00000030352:4636	ENSMODG00000018335:717	ENSOANG00000002245:663	ENSGALG00000014346:892
ENSG00000244045:3532	ENSPTRG00000008914:1486	ENSPTRG00000008914:1486	ENSGGOG00000004585:1447	ENSPPYG00000008090:2859	ENSMMUG00000021351:1465	ENSMUSG00000051232:1347	ENSMODG00000019239:655	ENSOANG00000015618:501	ENSGALG00000023757:793
ENSG00000117682:4646	ENSPTRG00000000385:3457	ENSPTRG00000000385:3457	ENSGGOG00000000969:1126	ENSPPYG00000001683:1005	ENSMMUG00000022426:3381	ENSMUSG00000012117:3250	ENSMODG00000014246:1014	ENSOANG00000006912:837	ENSGALG00000000385:1301
ENSG00000078081:3791	ENSPTRG00000015663:1005	ENSPTRG00000015663:1005	ENSGGOG00000005729:3350	ENSPPYG00000014332:1248	ENSMMUG00000010555:1251	ENSMUSG00000041247:3343	ENSMODG00000021287:1266	ENSOANG00000011252:1074	ENSGALG00000008759:1086
ENSG00000149474:4061	ENSPTRG00000013282:3272	ENSPTRG00000013282:3272	ENSGGOG00000010114:3013	ENSPPYG00000010733:2349	ENSMMUG00000023140:2886	ENSMUSG00000027425:3801	ENSMODG00000005543:2377	ENSOANG00000001251:2349	ENSGALG00000008707:2999
ENSG00000183378:1707	ENSPTRG00000003317:1692	ENSPTRG00000003317:1692	ENSGGOG00000001085:1695	ENSPPYG00000003517:1692	ENSMMUG00000019757:1695	ENSMUSG00000048236:1953	ENSMODG00000025535:1638	ENSOANG00000020562:863	ENSGALG00000005318:2415
ENSG00000134200:578	ENSPTRG00000001144:485	ENSPTRG00000001144:485	ENSGGOG00000010389:578	ENSPPYG00000000993:417	ENSMMUG00000009962:417	ENSMUSG00000027857:645	ENSMODG00000004806:517	ENSOANG00000004521:408	ENSGALG00000002550:638
ENSG00000135318:4520	ENSPTRG00000018391:3643	ENSPTRG00000018391:3643	ENSGGOG00000000898:4051	ENSPPYG00000016817:1725	ENSMMUG00000005442:2206	ENSMUSG00000032420:3553	ENSMODG00000018357:1725	ENSOANG00000000554:1731	ENSGALG00000015833:2276
ENSG00000213699:3898	ENSPTRG00000033946:1532	ENSPTRG00000033946:1532	ENSGGOG00000004034:1532	ENSPPYG00000012573:1116	ENSMMUG00000030899:1598	ENSMUSG00000029175:3090	ENSMODG00000015767:1116	ENSOANG00000003585:1107	ENSGALG00000016589:1262
ENSG00000134644:5587	ENSPTRG00000000453:5396	ENSPTRG00000000453:5396	ENSGGOG00000011983:2970	ENSPPYG00000001621:5414	ENSMMUG00000013520:5374	ENSMUSG00000028580:5389	ENSMODG00000017067:3190	ENSOANG00000004902:2956	ENSGALG00000000597:4149
ENSG00000054179:2095	ENSPTRG00000021588:2080	ENSPTRG00000021588:2080	ENSGGOG00000011714:2102	ENSPPYG00000019803:1227	ENSMMUG00000005056:1383	ENSMUSG00000015085:1935	ENSMODG00000017256:1632	ENSOANG00000008774:1129	ENSGALG00000009058:2329
ENSG00000156471:2507	ENSPTRG00000020442:2507	ENSPTRG00000020442:2507	ENSGGOG00000022232:2506	ENSPPYG00000018765:1422	ENSMMUG00000000573:2543	ENSMUSG00000021518:2438	ENSMODG00000006940:1461	ENSOANG00000001414:1295	ENSGALG00000015998:4694
ENSG00000198886:1378	ENSPTRG00000028136:1378	ENSPTRG00000028136:1378	ENSGGOG00000025053:1378	ENSPPYG00000020967:1378	ENSMMUG00000028677:1378	ENSMUSG00000064363:1378	ENSMODG00000021584:1378	ENSOANG00000019366:1383	ENSGALG00000018364:1381
ENSG00000152049:3291	ENSPTRG00000012977:2961	ENSPTRG00000012977:2961	ENSGGOG00000026795:2960	ENSPPYG00000013224:513	ENSMMUG00000001102:1168	ENSMUSG00000047330:2500	ENSMODG00000021196:513	ENSOANG00000013597:459	ENSGALG00000021057:492
ENSG00000205356:6937	ENSPTRG00000028478:3408	ENSPTRG00000028478:3408	ENSGGOG00000003065:4323	ENSPPYG00000017362:4436	ENSMMUG00000015479:4113	ENSMUSG00000066621:5106	ENSMODG00000008338:3423	ENSOANG00000001936:3411	ENSGALG00000003507:3519
ENSG00000179021:2633	ENSPTRG00000015126:2625	ENSPTRG00000015126:2625	ENSGGOG00000000075:2636	ENSPPYG00000013644:990	ENSMMUG00000021507:2606	ENSMUSG00000059920:5522	ENSMODG00000016949:1047	ENSOANG00000000490:913	ENSGALG00000015402:1087
ENSG00000108878:1266	ENSPTRG00000009561:1266	ENSPTRG00000009561:1266	ENSGGOG00000012771:1266	ENSPPYG00000008563:669	ENSMMUG00000002958:669	ENSMUSG00000020722:1249	ENSMODG00000004045:678	ENSOANG00000008057:675	ENSGALG00000003900:921
ENSG00000082258:7506	ENSPTRG00000024043:4494	ENSPTRG00000024043:4494	ENSGGOG00000023474:4374	ENSPPYG00000012811:1995	ENSMMUG00000010196:4933	ENSMUSG00000026349:6738	ENSMODG00000000727:2205	ENSOANG00000002760:2088	ENSGALG00000012207:2293
ENSG00000114251:6386	ENSPTRG00000015034:1302	ENSPTRG00000015034:1302	ENSGGOG00000007472:5834	ENSPPYG00000013781:1422	ENSMMUG00000009980:1195	ENSMUSG00000021994:7028	ENSMODG00000012401:1159	ENSOANG00000001485:774	ENSGALG00000005410:1546
ENSG00000142627:3969	ENSPTRG00000000221:3670	ENSPTRG00000000221:3670	ENSGGOG00000007964:3798	ENSPPYG00000001827:2880	ENSMMUG00000018245:3816	ENSMUSG00000006445:3913	ENSMODG00000003309:2965	ENSOANG00000015001:3144	ENSGALG00000023768:699
ENSG00000130037:2865	ENSPTRG00000004563:1809	ENSPTRG00000004563:1809	ENSGGOG00000012042:1809	ENSPPYG00000004176:1809	ENSMMUG00000022887:1818	ENSMUSG00000045534:1809	ENSMODG00000024849:1830	ENSOANG00000000313:774	ENSGALG00000017279:2750
ENSG00000116044:4391	ENSPTRG00000012677:7586	ENSPTRG00000012677:7586	ENSGGOG00000001231:2738	ENSPPYG00000012968:2318	ENSMMUG00000001861:2572	ENSMUSG00000015839:2475	ENSMODG00000009624:1821	ENSOANG00000008623:1775	ENSGALG00000009240:2624
ENSG00000125885:3920	ENSPTRG00000013233:3746	ENSPTRG00000013233:3746	ENSGGOG00000008602:3371	ENSPPYG00000010692:2478	ENSMMUG00000013740:3246	ENSMUSG00000027353:3481	ENSMODG00000003865:2660	ENSOANG00000008405:2638	ENSGALG00000009195:3478
ENSG00000134905:2133	ENSPTRG00000006035:1953	ENSPTRG00000006035:1953	ENSGGOG00000011255:1862	ENSPPYG00000005504:1683	ENSMMUG00000012666:1860	ENSMUSG00000056228:2207	ENSMODG00000004534:1794	ENSOANG00000015623:1518	ENSGALG00000016847:1804
ENSG00000122884:2932	ENSPTRG00000002619:2799	ENSPTRG00000002619:2799	ENSGGOG00000015551:1668	ENSPPYG00000002348:2828	ENSMMUG00000011274:1676	ENSMUSG00000019916:4114	ENSMODG00000000121:1756	ENSOANG00000001125:1611	ENSGALG00000004325:3460
ENSG00000173064:14901	ENSPTRG00000029538:14068	ENSPTRG00000029538:14068	ENSGGOG00000001169:12628	ENSPPYG00000004975:1968	ENSMMUG00000007122:2733	ENSMUSG00000042744:16217	ENSMODG00000003054:2120	ENSOANG00000004807:1965	ENSGALG00000004795:2621
ENSG00000084093:7315	ENSPTRG00000016087:3678	ENSPTRG00000016087:3678	ENSGGOG00000002165:3262	ENSPPYG00000014745:3294	ENSMMUG00000018821:3766	ENSMUSG00000029249:7254	ENSMODG00000020702:1812	ENSOANG00000008887:2774	ENSGALG00000011390:2670
ENSG00000104221:1973	ENSPTRG00000020163:1981	ENSPTRG00000020163:1981	ENSGGOG00000012892:1982	ENSPPYG00000018514:1986	ENSMMUG00000003212:2116	ENSMUSG00000031487:1383	ENSMODG00000010822:1239	ENSOANG00000009718:1062	ENSGALG00000003124:1281
ENSG00000116863:1668	ENSPTRG00000000531:1682	ENSPTRG00000000531:1682	ENSGGOG00000003770:1690	ENSPPYG00000001548:1092	ENSMMUG00000012030:1682	ENSMUSG00000042558:1672	ENSMODG00000017880:1110	ENSOANG00000002073:1104	ENSGALG00000002304:2766
ENSG00000163874:2682	ENSPTRG00000000544:2552	ENSPTRG00000000544:2552	ENSGGOG00000009268:2714	ENSPPYG00000001534:1800	ENSMMUG00000010323:2605	ENSMUSG00000042677:2755	ENSMODG00000017794:1869	ENSOANG00000002060:1773	ENSGALG00000002021:1509
ENSG00000096717:4551	ENSPTRG00000002548:3975	ENSPTRG00000002548:3975	ENSGGOG00000010187:4182	ENSPPYG00000002401:2241	ENSMMUG00000030531:2205	ENSMUSG00000020063:4430	ENSMODG00000017248:642	ENSOANG00000004619:678	ENSGALG00000002761:1805
ENSG00000147421:4201	ENSPTRG00000020127:2448	ENSPTRG00000020127:2448	ENSGGOG00000000860:3269	ENSPPYG00000018480:1263	ENSMMUG00000014981:2096	ENSMUSG00000021972:3120	ENSMODG00000008788:2118	ENSOANG00000014420:958	ENSGALG00000016633:1529
ENSG00000106733:2114	ENSPTRG00000021030:1458	ENSPTRG00000021030:1458	ENSGGOG00000011911:2050	ENSPPYG00000019299:1998	ENSMMUG00000010400:1234	ENSMUSG00000037847:1345	ENSMODG00000001966:597	ENSOANG00000011647:688	ENSGALG00000015156:1336
ENSG00000116406:6626	ENSPTRG00000001773:3127	ENSPTRG00000001773:3127	ENSGGOG00000002852:6661	ENSPPYG00000000419:2799	ENSMMUG00000005410:4655	ENSMUSG00000043019:6327	ENSMODG00000007357:2664	ENSOANG00000001006:2667	ENSGALG00000004806:2805
ENSG00000188042:4013	ENSPTRG00000013065:3382	ENSPTRG00000013065:3382	ENSGGOG00000023462:606	ENSPPYG00000013299:3386	ENSMMUG00000011516:3371	ENSMUSG00000049866:2740	ENSMODG00000023112:579	ENSOANG00000011765:579	ENSGALG00000021021:531
ENSG00000171408:5946	ENSPTRG00000018633:5910	ENSPTRG00000018633:5910	ENSGGOG00000014471:4718	ENSPPYG00000017030:2658	ENSMMUG00000003708:3135	ENSMUSG00000019990:4137	ENSMODG00000017463:1262	ENSOANG00000009441:1254	ENSGALG00000013941:1498
ENSG00000087494:2744	ENSPTRG00000004794:1719	ENSPTRG00000004794:1719	ENSGGOG00000005291:1972	ENSPPYG00000004386:1311	ENSMMUG00000010531:1614	ENSMUSG00000048776:1603	ENSMODG00000014419:528	ENSOANG00000002270:531	ENSGALG00000017295:1600
ENSG00000152229:3030	ENSPTRG00000009990:3021	ENSPTRG00000009990:3021	ENSGGOG00000025030:642	ENSPPYG00000009129:3012	ENSMMUG00000003566:886	ENSMUSG00000025429:5554	ENSMODG00000003193:999	ENSOANG00000004071:1073	ENSGALG00000001745:1111
ENSG00000024862:1530	ENSPTRG00000018653:1526	ENSPTRG00000018653:1526	ENSGGOG00000013371:1524	ENSPPYG00000017047:825	ENSMMUG00000017643:1330	ENSMUSG00000059554:1268	ENSMODG00000017386:635	ENSOANG00000014803:582	ENSGALG00000013834:1659
ENSG00000169085:3513	ENSPTRG00000020307:3168	ENSPTRG00000020307:3168	ENSGGOG00000008516:3180	ENSPPYG00000018639:3252	ENSMMUG00000022419:3044	ENSMUSG00000067879:3256	ENSMODG00000024953:636	ENSOANG00000021862:284	ENSGALG00000014100:808
ENSG00000111725:2388	ENSPTRG00000005520:2389	ENSPTRG00000005520:2389	ENSGGOG00000013047:2388	ENSPPYG00000005018:2404	ENSMMUG00000019860:2382	ENSMUSG00000029513:2135	ENSMODG00000015269:922	ENSOANG00000009517:631	ENSGALG00000007373:2490
ENSG00000091732:2085	ENSPTRG00000019685:1959	ENSPTRG00000019685:1959	ENSGGOG00000015504:1922	ENSPPYG00000017998:1717	ENSMMUG00000006155:1952	ENSMUSG00000039130:1889	ENSMODG00000014630:1560	ENSOANG00000011460:1458	ENSGALG00000008003:1916
ENSG00000064692:5567	ENSPTRG00000017175:3934	ENSPTRG00000017175:3934	ENSGGOG00000015443:3784	ENSPPYG00000015717:3145	ENSMMUG00000009997:4977	ENSMUSG00000024534:3870	ENSMODG00000013460:2812	ENSOANG00000010047:2906	ENSGALG00000005330:2730
ENSG00000175175:6611	ENSPTRG00000009459:2139	ENSPTRG00000009459:2139	ENSGGOG00000007728:5955	ENSPPYG00000008816:5958	ENSMMUG00000009139:2377	ENSMUSG00000046442:6344	ENSMODG00000014637:1927	ENSOANG00000008495:1821	ENSGALG00000005061:2064
ENSG00000154080:11395	ENSPTRG00000009938:2200	ENSPTRG00000009938:2200	ENSGGOG00000025951:2039	ENSPPYG00000009080:1606	ENSMMUG00000011801:2242	ENSMUSG00000047161:1620	ENSMODG00000021515:1305	ENSOANG00000004983:883	ENSGALG00000019489:1026
ENSG00000148426:3473	ENSPTRG00000002289:3329	ENSPTRG00000002289:3329	ENSGGOG00000028345:1474	ENSPPYG00000002088:1480	ENSMMUG00000023632:3284	ENSMUSG00000045319:2328	ENSMODG00000016778:1302	ENSOANG00000015427:1354	ENSGALG00000006700:1224
ENSG00000143653:2503	ENSPTRG00000002191:2459	ENSPTRG00000002191:2459	ENSGGOG00000002544:2213	ENSPPYG00000000044:1877	ENSMMUG00000022208:1101	ENSMUSG00000038936:2136	ENSMODG00000006356:1297	ENSOANG00000010244:1322	ENSGALG00000010641:2690
ENSG00000184860:2774	ENSPTRG00000008396:2774	ENSPTRG00000008396:2774	ENSGGOG00000013178:2775	ENSPPYG00000007590:1182	ENSMMUG00000020372:1218	ENSMUSG00000034308:2810	ENSMODG00000015169:1152	ENSOANG00000011331:1176	ENSGALG00000005456:1181
ENSG00000164253:3869	ENSPTRG00000017011:2539	ENSPTRG00000017011:2539	ENSGGOG00000026798:1699	ENSPPYG00000015577:2149	ENSMMUG00000021361:2541	ENSMUSG00000042015:3292	ENSMODG00000019738:1380	ENSOANG00000003103:1438	ENSGALG00000004350:1453
ENSG00000185418:3610	ENSPTRG00000007516:3296	ENSPTRG00000007516:3296	ENSGGOG00000007839:2781	ENSPPYG00000006830:2124	ENSMMUG00000000278:2106	ENSMUSG00000030515:3192	ENSMODG00000011941:2537	ENSOANG00000013263:2019	ENSGALG00000003985:2881
ENSG00000066279:10938	ENSPTRG00000001807:9073	ENSPTRG00000001807:9073	ENSGGOG00000025635:11026	ENSPPYG00000000389:8026	ENSMMUG00000000245:10867	ENSMUSG00000033952:9866	ENSMODG00000012671:5673	ENSOANG00000011184:7965	ENSGALG00000002338:6018
ENSG00000101323:1777	ENSPTRG00000013239:1747	ENSPTRG00000013239:1747	ENSGGOG00000004361:1768	ENSPPYG00000010698:1113	ENSMMUG00000009192:1749	ENSMUSG00000027261:2045	ENSMODG00000004027:1113	ENSOANG00000008413:1259	ENSGALG00000008845:1746
ENSG00000149506:1972	ENSPTRG00000003723:1972	ENSPTRG00000003723:1972	ENSGGOG00000013678:1972	ENSPPYG00000003203:1914	ENSMMUG00000000022:1944	ENSMUSG00000024734:1963	ENSMODG00000020337:2012	ENSOANG00000015211:990	ENSGALG00000013922:846
ENSG00000108510:10464	ENSPTRG00000009497:10378	ENSPTRG00000009497:10378	ENSGGOG00000009616:6024	ENSPPYG00000008804:6303	ENSMMUG00000023750:8687	ENSMUSG00000034297:10546	ENSMODG00000014293:6606	ENSOANG00000002228:6575	ENSGALG00000005230:6901
ENSG00000136156:1876	ENSPTRG00000005863:1840	ENSPTRG00000005863:1840	ENSGGOG00000006744:1892	ENSPPYG00000005356:1861	ENSMMUG00000007888:1869	ENSMUSG00000022108:1610	ENSMODG00000011189:822	ENSOANG00000015558:1523	ENSGALG00000016996:1517
ENSG00000107130:5010	ENSPTRG00000021470:411	ENSPTRG00000021470:411	ENSGGOG00000001210:4843	ENSPPYG00000019690:4338	ENSMMUG00000020760:4172	ENSMUSG00000062661:4653	ENSMODG00000007066:573	ENSOANG00000001037:513	ENSGALG00000012710:723
ENSG00000187257:3433	ENSPTRG00000019338:3198	ENSPTRG00000019338:3198	ENSGGOG00000007057:3227	ENSPPYG00000017870:2547	ENSMMUG00000009006:3272	ENSMUSG00000039968:5550	ENSMODG00000017154:1860	ENSOANG00000015065:2032	ENSGALG00000008328:1941
ENSG00000177888:2833	ENSPTRG00000001808:2763	ENSPTRG00000001808:2763	ENSGGOG00000004843:3777	ENSPPYG00000000388:2730	ENSMMUG00000000247:2779	ENSMUSG00000033964:8360	ENSMODG00000012684:1821	ENSOANG00000008986:1545	ENSGALG00000002305:2712
ENSG00000152527:9154	ENSPTRG00000011874:8695	ENSPTRG00000011874:8695	ENSGGOG00000012607:4315	ENSPPYG00000012455:4482	ENSMMUG00000008074:5902	ENSMUSG00000040852:6873	ENSMODG00000000515:4509	ENSOANG00000004882:1737	ENSGALG00000009947:4970
ENSG00000102524:1224	ENSPTRG00000006027:1204	ENSPTRG00000006027:1204	ENSGGOG00000021978:852	ENSPPYG00000005494:858	ENSMMUG00000008040:1115	ENSMUSG00000031497:3334	ENSMODG00000005067:855	ENSOANG00000015596:759	ENSGALG00000016852:3773
ENSG00000184992:1911	ENSPTRG00000005621:438	ENSPTRG00000005621:438	ENSGGOG00000010555:1682	ENSPPYG00000005107:543	ENSMMUG00000005213:816	ENSMUSG00000037905:1150	ENSMODG00000015675:774	ENSOANG00000001324:627	ENSGALG00000002913:1037
ENSG00000141452:2173	ENSPTRG00000009919:2174	ENSPTRG00000009919:2174	ENSGGOG00000005106:2168	ENSPPYG00000009063:1974	ENSMMUG00000021480:2059	ENSMUSG00000024410:2170	ENSMODG00000021497:1977	ENSOANG00000001464:1692	ENSGALG00000015011:2089
ENSG00000169189:1044	ENSPTRG00000007912:1061	ENSPTRG00000007912:1061	ENSGGOG00000006501:1061	ENSPPYG00000007212:810	ENSMMUG00000015832:1032	ENSMUSG00000030750:1224	ENSMODG00000015463:798	ENSOANG00000010987:630	ENSGALG00000006307:1094
ENSG00000145725:5918	ENSPTRG00000017112:5341	ENSPTRG00000017112:5341	ENSGGOG00000012250:5927	ENSPPYG00000015667:4244	ENSMMUG00000007787:5805	ENSMUSG00000040648:6239	ENSMODG00000019292:3685	ENSOANG00000005455:3634	ENSGALG00000015264:4169
